tituloOriginal,ranking,genero,anyo,presupuesto,duraccion,pais,titulo
Close Encounters of the Third Kind,#223,"Drama, Ciencia ficción",1977,19.400.870$,132 minutos,EE.UU.,Close Encounters of the Third Kind
Radio Days,#229,Orion Pictures,1987,,85 minutos,EE.UU.,Radio Days
Child's Play,#226,United Artists,1988,,87 minutos,EE.UU.,Child's Play
Out of Justicie,#219,"Acción, Thriller, Crimen",1991,14.000.000$,90 minutos,EE.UU.,Out of Justicie
Daredevil,#218,"Acción, Crimen, Fantasía",2003,78.000.000$,103 minutos,EE.UU.,Daredevil
The Wild Bunch,#224,Warner Bros. Pictures,1969,,136 minutos,EE.UU.,The Wild Bunch
Metropolis,#220,Ufa Cinema,1927,,139 minutos,EE.UU.,Metropolis
Gorillas in the Mist,#217,"Drama, Biografía",1988,22.000.000$,129 minutos,EE.UU.,Gorillas in the Mist
Dial M for Murder,#221,Warner Bros. Pictures,1954,,105 minutos,EE.UU.,Dial M for Murder
,#216,,2002,,,Die Another Day,
The King's Speech,#215,"Drama, Historia",2010,15.000.000,118 minutos,Reino Unido,The King's Speech
Carlito's Way,#222,"Drama, Crimen, Thriller",1993,30.000.000$,141 minutos,EE.UU.,Carlito's Way
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",#211,"Aventura, Familiar, Fantasía",2005,180.000.000$,171 minutos,EE.UU.,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe"
Finding Dory,#212,"Pixar Animation Studios, Walt Disney Pictures",2015,,96 minutos,EE.UU.,Finding Dory
,#213,,2012,,,The Hobbit: An Unexpected Journey,
The Imitation Game,#210,"Drama, Biografía, Thriller",2014,14.000.000$,113 minutos,EE.UU.,The Imitation Game
The Little Mermaid,#209,Animación,1989,40.000.000$,82 minutos,EE.UU.,The Little Mermaid
Prince of Persia: The Sands of time,#214,Walt Disney Pictures,2010,,116 minutos,EE.UU.,Prince of Persia: The Sands of time
Blue Valentine,#207,"Drama, Romance",2010,1.000.000$,120 minutos,EE.UU.,Blue Valentine
,#203,"Drama, Crimen",1990,,,The Godfather: Part III,
Hurlyburly,#204,"Sherlock Films, Manga Films",1998,,122 minutos,EE.UU.,Hurlyburly
In Search Of a Midnight Kiss,#205,"Midnight Kiss Productions, Sherlock Films",2007,,90 minutos,EE.UU.,In Search Of a Midnight Kiss
,#202,"Acción, Crimen",2004,,,Kill Bill: Vol. 2,
Ghost in the Shell,#208,,1995,,82 minutos,Japón,Ghost in the Shell
,#206,,2014,,,Divergent,
Da hong deng long gao gao gua,#198,Drama,1991,2.603.061$,125 minutos,Hong Kong,Da hong deng long gao gao gua
Big Fish,#200,"Drama, Aventura, Fantasía",2003,70.000.000$,125 minutos,EE.UU.,Big Fish
The Great Escape,#199,"Acción, Drama, Historia",1963,3.800€,172 minutos,EE.UU.,The Great Escape
,#197,"Acción, Aventura, Misterio",2008,,,Quantum of Solace,
Enchanted,#196,Comedia,2007,85.000.000$,107 minutos,EE.UU.,Enchanted
,#193,"Acción, Crimen, Drama",2011,,,Fast Five,
The Reader,#194,"Drama, Suspense, Romance",2008,32.000.000$,124 minutos,EE.UU.,The Reader
JFK,#191,"Drama, Historia, Thriller",1991,40.000.000$,190 minutos,EE.UU.,JFK
Child's Play 3,#192,Universal Pictures,1991,,90 minutos,EE.UU.,Child's Play 3
Young Frankenstein,#188,,1974,,106 minutos,EE.UU.,Young Frankenstein
The Gold Rush,#186,"Comedia, Aventura, Familiar",1925,923$,95 minutos,EE.UU.,The Gold Rush
Le fabuleux destin d'Amélie Poulain,#189,Vértigo Films,2001,,120 minutos,Francia,Le fabuleux destin d'Amélie Poulain
Cyrano de Bergerac,#187,,1990,,137 minutos,Francia,Cyrano de Bergerac
5 Flights Up,#184,,2014,,92 minutos,EE.UU.,5 Flights Up
Primal Fear,#190,"Crimen, Drama, Misterio",1996,30.000.000$,129 minutos,EE.UU.,Primal Fear
Pacific Rim,#182,"Warner Bros. Pictures, Legendary Pictures",2013,,131 minutos,EE.UU.,Pacific Rim
La La Land,#181,"Romance, Música, Drama",2016,30.000.000€,128 minutos,EE.UU.,La La Land
The Accused,#185,"Suspense, Misterio, Drama",1988,6.000.000$,111 minutos,EE.UU.,The Accused
Child´s Play 2,#180,United Artists,1990,,84 minutos,EE.UU.,Child´s Play 2
,#178,,1988,,,Die Hard,
